t,a,s,da,D,B,S,out,run_out,P_out,dA_plus,dA_relief,A,E_rev,dA,dE,Recovery_H,EdgeZero_H,r,IRR_ADM
1,+0.000000,0.000000,+0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.250000,0.000000,1.000000,+0.000000,+0.000000,FALSE,FALSE,R0,CONTINUE
2,+0.030000,2.000000,+0.030000,0.300000,0.030000,0.200000,1,1,0.125000,0.057813,0.135800,0.000000,0.988500,+0.000000,-0.011500,FALSE,FALSE,R0,CONTINUE
3,+0.050000,3.000000,+0.020000,0.200000,0.050000,0.300000,1,2,0.250000,0.059375,0.133000,0.000000,0.973875,+0.000000,-0.014625,FALSE,FALSE,R0,CONTINUE
4,+0.030000,3.000000,-0.020000,0.200000,0.030000,0.300000,0,0,0.000000,0.000000,0.135800,0.000000,0.963906,+0.000000,-0.009969,FALSE,FALSE,R0,CONTINUE
5,+0.010000,1.000000,-0.020000,0.200000,0.010000,0.100000,0,0,0.000000,0.000000,0.178200,0.000000,0.967430,+0.000000,+0.003523,FALSE,FALSE,R0,CONTINUE
6,+0.060000,0.000000,+0.050000,0.500000,0.060000,0.000000,1,1,0.125000,0.070313,0.117500,0.000000,0.972572,+0.000000,+0.005143,FALSE,FALSE,R0,CONTINUE
7,+0.100000,2.000000,+0.040000,0.400000,0.100000,0.200000,1,2,0.250000,0.078125,0.108000,0.000000,0.964429,+0.000000,-0.008143,FALSE,FALSE,R0,CONTINUE
8,+0.120000,2.000000,+0.020000,0.200000,0.120000,0.200000,1,3,0.375000,0.060937,0.140800,0.000000,0.957322,+0.000000,-0.007107,FALSE,FALSE,R0,CONTINUE
9,+0.090000,3.000000,-0.030000,0.300000,0.090000,0.300000,0,0,0.000000,0.000000,0.111475,0.000000,0.948491,+0.000000,-0.008830,FALSE,FALSE,R0,CONTINUE
10,+0.070000,4.000000,-0.020000,0.200000,0.070000,0.400000,0,0,0.000000,0.000000,0.111600,0.000000,0.937869,+0.000000,-0.010623,FALSE,FALSE,R0,CONTINUE
11,+0.090000,5.000000,+0.020000,0.200000,0.090000,0.500000,1,1,0.125000,0.064063,0.091000,0.000000,0.923901,+0.000000,-0.013967,FALSE,FALSE,R0,CONTINUE
12,+0.070000,5.000000,-0.020000,0.200000,0.070000,0.500000,0,0,0.000000,0.000000,0.093000,0.000000,0.914426,+0.000000,-0.009475,FALSE,FALSE,R0,CONTINUE
13,+0.040000,3.000000,-0.030000,0.300000,0.040000,0.300000,0,0,0.000000,0.000000,0.117600,0.000000,0.918820,+0.000000,+0.004393,FALSE,FALSE,R0,CONTINUE
14,+0.080000,3.000000,+0.040000,0.400000,0.080000,0.300000,1,1,0.125000,0.076562,0.096600,0.000000,0.920115,+0.000000,+0.001295,FALSE,FALSE,R0,CONTINUE
15,+0.120000,2.000000,+0.040000,0.400000,0.120000,0.200000,1,2,0.250000,0.078125,0.105600,0.000000,0.924086,+0.000000,+0.003971,FALSE,FALSE,R0,CONTINUE
